No,;Time;Source;Destination;Protocol;Length;Info;;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
260;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=62504 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
261;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=63956 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
262;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=65408 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
263;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=66860 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
264;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=68312 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
265;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=69764 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
266;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=71216 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;0;0;0
267;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=72668 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0;;-0,000177;0,000177;0,000354
268;17,25371;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=74120 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,25371;17,25371;0,000177;;-0,00032;0,000497;0,000817
269;17,25371;18.139.205.223;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;17,25371;17,253887;0,000497;;0,000497;0;-0,000497
270;17,253887;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=77024 Win=132096 Len=0;;;17,253887;17,254384;0;;0;0;0
271;17,254384;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=77024 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,254384;17,254384;0;;0;0;0
272;17,254384;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=78476 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,254384;17,254384;0;;-0,000104;0,000104;0,000208
273;17,254384;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=79928 Ack=3822 Win=36864 Len=1452 [TCP segment of a reassembled PDU];;;17,254384;17,254384;0,000104;;-0,174977;0,175081;0,350058
274;17,254384;18.139.205.223;192,168,1,6;TLSv1,2;1180;Application Data, Application Data;;;17,254384;17,254488;0,175081;;0,175081;0;-0,175081
275;17,254488;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=3822 Ack=82506 Win=132096 Len=0;;;17,254488;17,429569;0;;0;0;0
277;17,429569;192,168,1,6;18.139.205.223;TCP;1506;58002  >  443 [ACK] Seq=3822 Ack=82506 Win=132096 Len=1452 [TCP segment of a reassembled PDU];;;17,429569;17,429569;0;;0;0;0
278;17,429569;192,168,1,6;18.139.205.223;TCP;1506;58002  >  443 [ACK] Seq=5274 Ack=82506 Win=132096 Len=1452 [TCP segment of a reassembled PDU];;;17,429569;17,429569;0;;-0,008431;0,008431;0,016862
279;17,429569;192,168,1,6;18.139.205.223;TCP;1506;58002  >  443 [ACK] Seq=6726 Ack=82506 Win=132096 Len=1452 [TCP segment of a reassembled PDU];;;17,429569;17,429569;0,008431;;-0,001548;0,009979;0,011527
280;17,429569;192,168,1,6;18.139.205.223;TLSv1,2;172;Application Data;;;17,429569;17,438;0,009979;;0,009925;0,000054;-0,009871
282;17,438;192,168,1,6;18.139.205.223;TLSv1,2;257;Application Data;;;17,438;17,447979;0,000054;;-0,008977;0,009031;0,018008
284;17,447979;117,18,237,29;192,168,1,6;TCP;56;80  >  57958 [ACK] Seq=1 Ack=1 Win=288 Len=0;;;17,447979;17,448033;0,009031;;0,000834;0,008197;0,007363
285;17,448033;192,168,1,6;117,18,237,29;TCP;54;[TCP ACKed unseen segment] 57958  >  80 [ACK] Seq=1 Ack=2 Win=513 Len=0;;;17,448033;17,457064;0,008197;;0,004346;0,003851;-0,000495
287;17,457064;192,168,1,6;13,35,99,88;TCP;66;58003  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;17,457064;17,465261;0,003851;;0,001998;0,001853;-0,000145
289;17,465261;18.139.205.223;192,168,1,6;TCP;56;443  >  58002 [ACK] Seq=82506 Ack=6726 Win=42496 Len=0;;;17,465261;17,469112;0,001853;;-0,005576;0,007429;0,013005
291;17,469112;192,168,1,6;104,244,38,20;TCP;66;58004  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;17,469112;17,470965;0,007429;;0,007429;0;-0,007429
292;17,470965;18.139.205.223;192,168,1,6;TCP;56;443  >  58002 [ACK] Seq=82506 Ack=8296 Win=45568 Len=0;;;17,470965;17,478394;0;;-0,000082;0,000082;0,000164
293;17,478394;18.139.205.223;192,168,1,6;TLSv1,2;430;Application Data;;;17,478394;17,478394;0,000082;;-0,007372;0,007454;0,014826
294;17,478394;18.139.205.223;192,168,1,6;TLSv1,2;92;Application Data;;;17,478394;17,478476;0,007454;;0,006937;0,000517;-0,00642
295;17,478476;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=8499 Ack=82920 Win=131584 Len=0;;;17,478476;17,48593;0,000517;;0,000517;0;-0,000517
296;17,48593;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=82920 Ack=8499 Win=48384 Len=1452 [TCP segment of a reassembled PDU];;;17,48593;17,486447;0;;-0,000075;0,000075;0,00015
297;17,486447;18.139.205.223;192,168,1,6;TCP;1506;443  >  58002 [ACK] Seq=84372 Ack=8499 Win=48384 Len=1452 [TCP segment of a reassembled PDU];;;17,486447;17,486447;0,000075;;-0,014552;0,014627;0,029179
298;17,486447;18.139.205.223;192,168,1,6;TLSv1,2;102;Application Data;;;17,486447;17,486522;0,014627;;0,01365;0,000977;-0,012673
299;17,486522;192,168,1,6;18.139.205.223;TCP;54;58002  >  443 [ACK] Seq=8499 Ack=85872 Win=132096 Len=0;;;17,486522;17,501149;0,000977;;-0,029915;0,030892;0,060807
300;17,501149;192,168,1,6;104,244,38,20;TCP;66;58005  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;17,501149;17,502126;0,030892;;0,012323;0,018569;0,006246
301;17,502126;192,168,1,6;104,244,38,20;TCP;66;58006  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;17,502126;17,533018;0,018569;;0,01845;0,000119;-0,018331
304;17,533018;192,168,1,6;74.125.200.154;TCP;66;58007  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;17,533018;17,551587;0,000119;;-0,000383;0,000502;0,000885
305;17,551587;74.125.200.154;192,168,1,6;TCP;66;443  >  58007 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 WS=256;;;17,551587;17,551706;0,000502;;-0,021359;0,021861;0,04322
306;17,551706;192,168,1,6;74.125.200.154;TCP;54;58007  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0;;;17,551706;17,552208;0,021861;;0,021175;0,000686;-0,020489
307;17,552208;192,168,1,6;74.125.200.154;TLSv1,3;571;Client Hello;;;17,552208;17,574069;0,000686;;0,000686;0;-0,000686
308;17,574069;74.125.200.154;192,168,1,6;TCP;54;443  >  58007 [ACK] Seq=1 Ack=518 Win=66816 Len=0;;;17,574069;17,574755;0;;-0,000078;0,000078;0,000156
309;17,574755;74.125.200.154;192,168,1,6;TLSv1,3;1484;Server Hello, Change Cipher Spec;;;17,574755;17,574755;0,000078;;-0,000066;0,000144;0,00021
310;17,574755;74.125.200.154;192,168,1,6;TCP;1484;443  >  58007 [ACK] Seq=1431 Ack=518 Win=66816 Len=1430 [TCP segment of a reassembled PDU];;;17,574755;17,574833;0,000144;;-0,01519;0,015334;0,030524
311;17,574833;192,168,1,6;74.125.200.154;TCP;54;58007  >  443 [ACK] Seq=518 Ack=2861 Win=131328 Len=0;;;17,574833;17,574977;0,015334;;0,01416;0,001174;-0,012986
312;17,574977;74.125.200.154;192,168,1,6;TLSv1,3;74;Application Data;;;17,574977;17,590311;0,001174;;0,000812;0,000362;-0,00045
313;17,590311;192,168,1,6;74.125.200.154;TLSv1,3;118;Change Cipher Spec, Application Data;;;17,590311;17,591485;0,000362;;-0,000451;0,000813;0,001264
314;17,591485;192,168,1,6;104,244,38,20;TCP;66;58008  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;17,591485;17,591847;0,000813;;0,000813;0;-0,000813
315;17,591847;192,168,1,6;74.125.200.154;TLSv1,3;146;Application Data;;;17,591847;17,59266;0;;0;0;0
316;17,59266;192,168,1,6;74.125.200.154;TCP;1484;58007  >  443 [ACK] Seq=674 Ack=2881 Win=131328 Len=1430 [TCP segment of a reassembled PDU];;;17,59266;17,59266;0;;-0,015435;0,015435;0,03087
317;17,59266;192,168,1,6;74.125.200.154;TCP;1484;58007  >  443 [ACK] Seq=2104 Ack=2881 Win=131328 Len=1430 [TCP segment of a reassembled PDU];;;17,59266;17,59266;0,015435;;0,014982;0,000453;-0,014529
318;17,59266;192,168,1,6;74.125.200.154;TLSv1,3;369;Application Data;;;17,59266;17,608095;0,000453;;0,000319;0,000134;-0,000185
319;17,608095;74.125.200.154;192,168,1,6;TLSv1,3;634;Application Data, Application Data;;;17,608095;17,608548;0,000134;;-0,010755;0,010889;0,021644
320;17,608548;192,168,1,6;74.125.200.154;TLSv1,3;85;Application Data;;;17,608548;17,608682;0,010889;;0,004619;0,00627;0,001651
321;17,608682;74.125.200.154;192,168,1,6;TLSv1,3;85;Application Data;;;17,608682;17,619571;0,00627;;-0,014035;0,020305;0,03434
322;17,619571;74.125.200.154;192,168,1,6;TCP;56;443  >  58007 [ACK] Seq=3492 Ack=3534 Win=72448 Len=0;;;17,619571;17,625841;0,020305;;0,020089;0,000216;-0,019873
323;17,625841;74.125.200.154;192,168,1,6;TCP;56;443  >  58007 [ACK] Seq=3492 Ack=3880 Win=75264 Len=0;;;17,625841;17,646146;0,000216;;-0,00062;0,000836;0,001456
324;17,646146;13,35,99,88;192,168,1,6;TCP;66;443  >  58003 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM=1 WS=256;;;17,646146;17,646362;0,000836;;-0,003267;0,004103;0,00737
325;17,646362;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0;;;17,646362;17,647198;0,004103;;0,003104;0,000999;-0,002105
326;17,647198;192,168,1,6;13,35,99,88;TLSv1,3;571;Client Hello;;;17,647198;17,651301;0,000999;;-0,000252;0,001251;0,001503
327;17,651301;192,168,1,6;74.125.200.154;TCP;54;58007  >  443 [ACK] Seq=3880 Ack=3492 Win=130816 Len=0;;;17,651301;17,6523;0,001251;;0,001251;0;-0,001251
328;17,6523;74.125.200.154;192,168,1,6;TLSv1,3;604;Application Data;;;17,6523;17,653551;0;;0;0;0
329;17,653551;74.125.200.154;192,168,1,6;TLSv1,3;1484;Application Data;;;17,653551;17,653551;0;;0;0;0
330;17,653551;74.125.200.154;192,168,1,6;TLSv1,3;1484;Application Data;;;17,653551;17,653551;0;;-0,000241;0,000241;0,000482
331;17,653551;74.125.200.154;192,168,1,6;TLSv1,3;1484;Application Data;;;17,653551;17,653551;0,000241;;-0,000156;0,000397;0,000553
332;17,653551;74.125.200.154;192,168,1,6;TLSv1,3;1484;Application Data;;;17,653551;17,653792;0,000397;;0,000397;0;-0,000397
333;17,653792;192,168,1,6;74.125.200.154;TCP;54;58007  >  443 [ACK] Seq=3880 Ack=9762 Win=131328 Len=0;;;17,653792;17,654189;0;;-0,000128;0,000128;0,000256
334;17,654189;74.125.200.154;192,168,1,6;TLSv1,3;1484;Application Data;;;17,654189;17,654189;0,000128;;-0,000806;0,000934;0,00174
335;17,654189;74.125.200.154;192,168,1,6;TLSv1,3;1484;Application Data;;;17,654189;17,654317;0,000934;;0,000934;0;-0,000934
336;17,654317;192,168,1,6;74.125.200.154;TCP;54;58007  >  443 [ACK] Seq=3880 Ack=12622 Win=131328 Len=0;;;17,654317;17,655251;0;;-0,000109;0,000109;0,000218
337;17,655251;74.125.200.154;192,168,1,6;TLSv1,3;1484;Application Data;;;17,655251;17,655251;0,000109;;-0,000078;0,000187;0,000265
338;17,655251;74.125.200.154;192,168,1,6;TLSv1,3;119;Application Data;;;17,655251;17,65536;0,000187;;0,000135;0,000052;-0,000083
339;17,65536;192,168,1,6;74.125.200.154;TCP;54;58007  >  443 [ACK] Seq=3880 Ack=14117 Win=131328 Len=0;;;17,65536;17,655547;0,000052;;-0,001758;0,00181;0,003568
340;17,655547;74.125.200.154;192,168,1,6;TLSv1,3;124;Application Data, Application Data;;;17,655547;17,655599;0,00181;;-0,020043;0,021853;0,041896
341;17,655599;192,168,1,6;74.125.200.154;TCP;54;58007  >  443 [ACK] Seq=3880 Ack=14187 Win=131328 Len=0;;;17,655599;17,657409;0,021853;;0,021625;0,000228;-0,021397
342;17,657409;192,168,1,6;74.125.200.154;TLSv1,3;93;Application Data;;;17,657409;17,679262;0,000228;;-0,000226;0,000454;0,00068
343;17,679262;104,244,38,20;192,168,1,6;TCP;66;443  >  58004 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM=1 WS=512;;;17,679262;17,67949;0,000454;;-0,002329;0,002783;0,005112
344;17,67949;192,168,1,6;104,244,38,20;TCP;54;58004  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0;;;17,67949;17,679944;0,002783;;-0,014801;0,017584;0,032385
345;17,679944;74.125.200.154;192,168,1,6;TCP;56;443  >  58007 [ACK] Seq=14187 Ack=3919 Win=75264 Len=0;;;17,679944;17,682727;0,017584;;0,017086;0,000498;-0,016588
346;17,682727;192,168,1,6;104,244,38,20;TLSv1,2;571;Client Hello;;;17,682727;17,700311;0,000498;;0,000316;0,000182;-0,000134
350;17,700311;192,168,1,6;54.212.130.172;TCP;66;58009  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;17,700311;17,700809;0,000182;;-0,000902;0,001084;0,001986
351;17,700809;104,244,38,20;192,168,1,6;TCP;66;443  >  58005 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM=1 WS=512;;;17,700809;17,700991;0,001084;;-0,001173;0,002257;0,00343
352;17,700991;192,168,1,6;104,244,38,20;TCP;54;58005  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0;;;17,700991;17,702075;0,002257;;0,002009;0,000248;-0,001761
353;17,702075;192,168,1,6;104,244,38,20;TLSv1,2;571;Client Hello;;;17,702075;17,704332;0,000248;;-0,000508;0,000756;0,001264
354;17,704332;104,244,38,20;192,168,1,6;TCP;66;443  >  58006 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM=1 WS=512;;;17,704332;17,70458;0,000756;;-0,084671;0,085427;0,170098
355;17,70458;192,168,1,6;104,244,38,20;TCP;54;58006  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0;;;17,70458;17,705336;0,085427;;0,085223;0,000204;-0,085019
356;17,705336;192,168,1,6;104,244,38,20;TLSv1,2;571;Client Hello;;;17,705336;17,790763;0,000204;;-0,000757;0,000961;0,001718
361;17,790763;104,244,38,20;192,168,1,6;TCP;66;443  >  58008 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM=1 WS=512;;;17,790763;17,790967;0,000961;;-0,04626;0,047221;0,093481
362;17,790967;192,168,1,6;104,244,38,20;TCP;54;58008  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0;;;17,790967;17,791928;0,047221;;0,047221;0;-0,047221
363;17,791928;192,168,1,6;104,244,38,20;TLSv1,2;571;Client Hello;;;17,791928;17,839149;0;;-0,001036;0,001036;0,002072
364;17,839149;13,35,99,88;192,168,1,6;TCP;54;443  >  58003 [ACK] Seq=1 Ack=518 Win=30464 Len=0;;;17,839149;17,839149;0,001036;;0,001036;0;-0,001036
365;17,839149;13,35,99,88;192,168,1,6;TLSv1,3;1506;Server Hello, Change Cipher Spec, Application Data;;;17,839149;17,840185;0;;-0,000122;0,000122;0,000244
366;17,840185;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=1453 Ack=518 Win=30464 Len=1452 [TCP segment of a reassembled PDU];;;17,840185;17,840185;0,000122;;-0,003106;0,003228;0,006334
367;17,840185;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=2905 Ack=518 Win=30464 Len=1452 [TCP segment of a reassembled PDU];;;17,840185;17,840307;0,003228;;0,003228;0;-0,003228
368;17,840307;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=518 Ack=4357 Win=132096 Len=0;;;17,840307;17,843535;0;;-0,000152;0,000152;0,000304
369;17,843535;13,35,99,88;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;17,843535;17,843535;0,000152;;-0,050739;0,050891;0,10163
370;17,843535;13,35,99,88;192,168,1,6;TLSv1,3;156;Application Data, Application Data;;;17,843535;17,843687;0,050891;;0,050205;0,000686;-0,049519
371;17,843687;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=518 Ack=5911 Win=132096 Len=0;;;17,843687;17,894578;0,000686;;-0,000013;0,000699;0,000712
372;17,894578;192,168,1,6;13,35,99,88;TLSv1,3;118;Change Cipher Spec, Application Data;;;17,894578;17,895264;0,000699;;0,000126;0,000573;0,000447
373;17,895264;192,168,1,6;13,35,99,88;TLSv1,3;146;Application Data;;;17,895264;17,895963;0,000573;;-0,002596;0,003169;0,005765
374;17,895963;192,168,1,6;13,35,99,88;TLSv1,3;332;Application Data;;;17,895963;17,896536;0,003169;;0,003169;0;-0,003169
375;17,896536;104,244,38,20;192,168,1,6;TCP;54;443  >  58004 [ACK] Seq=1 Ack=518 Win=30720 Len=0;;;17,896536;17,899705;0;;0;0;0
376;17,899705;104,244,38,20;192,168,1,6;TLSv1,2;1506;Server Hello;;;17,899705;17,899705;0;;0;0;0
377;17,899705;104,244,38,20;192,168,1,6;TCP;1506;443  >  58004 [ACK] Seq=1453 Ack=518 Win=30720 Len=1452 [TCP segment of a reassembled PDU];;;17,899705;17,899705;0;;0;0;0
378;17,899705;104,244,38,20;192,168,1,6;TCP;1246;443  >  58004 [PSH, ACK] Seq=2905 Ack=518 Win=30720 Len=1192 [TCP segment of a reassembled PDU];;;17,899705;17,899705;0;;-0,000265;0,000265;0,00053
379;17,899705;104,244,38,20;192,168,1,6;TCP;1506;443  >  58004 [ACK] Seq=4097 Ack=518 Win=30720 Len=1452 [TCP segment of a reassembled PDU];;;17,899705;17,899705;0,000265;;-0,008922;0,009187;0,018109
380;17,899705;104,244,38,20;192,168,1,6;TLSv1,2;470;Certificate, Server Key Exchange, Server Hello Done;;;17,899705;17,89997;0,009187;;0,009187;0;-0,009187
381;17,89997;192,168,1,6;104,244,38,20;TCP;54;58004  >  443 [ACK] Seq=518 Ack=5965 Win=132096 Len=0;;;17,89997;17,909157;0;;0;0;0
382;17,909157;104,244,38,20;192,168,1,6;TCP;54;443  >  58005 [ACK] Seq=1 Ack=518 Win=30720 Len=0;;;17,909157;17,909157;0;;0;0;0
383;17,909157;104,244,38,20;192,168,1,6;TLSv1,2;1506;Server Hello;;;17,909157;17,909157;0;;0;0;0
384;17,909157;104,244,38,20;192,168,1,6;TCP;1506;443  >  58005 [ACK] Seq=1453 Ack=518 Win=30720 Len=1452 [TCP segment of a reassembled PDU];;;17,909157;17,909157;0;;0;0;0
385;17,909157;104,244,38,20;192,168,1,6;TCP;1246;443  >  58005 [PSH, ACK] Seq=2905 Ack=518 Win=30720 Len=1192 [TCP segment of a reassembled PDU];;;17,909157;17,909157;0;;-0,000271;0,000271;0,000542
386;17,909157;104,244,38,20;192,168,1,6;TCP;1506;443  >  58005 [ACK] Seq=4097 Ack=518 Win=30720 Len=1452 [TCP segment of a reassembled PDU];;;17,909157;17,909157;0,000271;;-0,00449;0,004761;0,009251
387;17,909157;104,244,38,20;192,168,1,6;TLSv1,2;470;Certificate, Server Key Exchange, Server Hello Done;;;17,909157;17,909428;0,004761;;0,00292;0,001841;-0,001079
388;17,909428;192,168,1,6;104,244,38,20;TCP;54;58005  >  443 [ACK] Seq=518 Ack=5965 Win=132096 Len=0;;;17,909428;17,914189;0,001841;;0,001841;0;-0,001841
389;17,914189;104,244,38,20;192,168,1,6;TCP;54;443  >  58006 [ACK] Seq=1 Ack=518 Win=30720 Len=0;;;17,914189;17,91603;0;;0;0;0
390;17,91603;104,244,38,20;192,168,1,6;TLSv1,2;1506;Server Hello;;;17,91603;17,91603;0;;0;0;0
391;17,91603;104,244,38,20;192,168,1,6;TCP;1506;443  >  58006 [ACK] Seq=1453 Ack=518 Win=30720 Len=1452 [TCP segment of a reassembled PDU];;;17,91603;17,91603;0;;0;0;0
392;17,91603;104,244,38,20;192,168,1,6;TCP;1246;443  >  58006 [PSH, ACK] Seq=2905 Ack=518 Win=30720 Len=1192 [TCP segment of a reassembled PDU];;;17,91603;17,91603;0;;-0,000296;0,000296;0,000592
393;17,91603;104,244,38,20;192,168,1,6;TCP;1506;443  >  58006 [ACK] Seq=4097 Ack=518 Win=30720 Len=1452 [TCP segment of a reassembled PDU];;;17,91603;17,91603;0,000296;;-0,016961;0,017257;0,034218
394;17,91603;104,244,38,20;192,168,1,6;TLSv1,2;470;Certificate, Server Key Exchange, Server Hello Done;;;17,91603;17,916326;0,017257;;0,017041;0,000216;-0,016825
395;17,916326;192,168,1,6;104,244,38,20;TCP;54;58006  >  443 [ACK] Seq=518 Ack=5965 Win=132096 Len=0;;;17,916326;17,933583;0,000216;;-0,000814;0,00103;0,001844
396;17,933583;54.212.130.172;192,168,1,6;TCP;66;443  >  58009 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1452 SACK_PERM=1 WS=256;;;17,933583;17,933799;0,00103;;-0,044443;0,045473;0,089916
397;17,933799;192,168,1,6;54.212.130.172;TCP;54;58009  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0;;;17,933799;17,934829;0,045473;;0,042894;0,002579;-0,040315
398;17,934829;192,168,1,6;54.212.130.172;TLSv1,2;571;Client Hello;;;17,934829;17,980302;0,002579;;0,000319;0,00226;0,001941
400;17,980302;192,168,1,6;104,244,38,20;TLSv1,2;147;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;17,980302;17,982881;0,00226;;0,001645;0,000615;-0,00103
401;17,982881;192,168,1,6;104,244,38,20;TLSv1,2;147;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;17,982881;17,985141;0,000615;;0,00038;0,000235;-0,000145
402;17,985141;192,168,1,6;104,244,38,20;TLSv1,2;147;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;17,985141;17,985756;0,000235;;-0,000016;0,000251;0,000267
403;17,985756;192,168,1,6;104,244,38,20;TLSv1,2;1067;Application Data;;;17,985756;17,985991;0,000251;;-0,009242;0,009493;0,018735
404;17,985991;192,168,1,6;104,244,38,20;TLSv1,2;1074;Application Data;;;17,985991;17,986242;0,009493;;0,008453;0,00104;-0,007413
405;17,986242;192,168,1,6;104,244,38,20;TLSv1,2;1329;Application Data;;;17,986242;17,995735;0,00104;;0,000258;0,000782;0,000524
407;17,995735;104,244,38,20;192,168,1,6;TCP;54;443  >  58008 [ACK] Seq=1 Ack=518 Win=30720 Len=0;;;17,995735;17,996775;0,000782;;0,000782;0;-0,000782
408;17,996775;104,244,38,20;192,168,1,6;TLSv1,2;1506;Server Hello;;;17,996775;17,997557;0;;-0,000086;0,000086;0,000172
409;17,997557;104,244,38,20;192,168,1,6;TCP;1506;443  >  58008 [ACK] Seq=1453 Ack=518 Win=30720 Len=1452 [TCP segment of a reassembled PDU];;;17,997557;17,997557;0,000086;;-0,001376;0,001462;0,002838
410;17,997557;104,244,38,20;192,168,1,6;TCP;1246;443  >  58008 [PSH, ACK] Seq=2905 Ack=518 Win=30720 Len=1192 [TCP segment of a reassembled PDU];;;17,997557;17,997643;0,001462;;0,001462;0;-0,001462
411;17,997643;192,168,1,6;104,244,38,20;TCP;54;58008  >  443 [ACK] Seq=518 Ack=4097 Win=132096 Len=0;;;17,997643;17,999105;0;;-0,000181;0,000181;0,000362
412;17,999105;104,244,38,20;192,168,1,6;TCP;1506;443  >  58008 [ACK] Seq=4097 Ack=518 Win=30720 Len=1452 [TCP segment of a reassembled PDU];;;17,999105;17,999105;0,000181;;-0,001886;0,002067;0,003953
413;17,999105;104,244,38,20;192,168,1,6;TLSv1,2;470;Certificate, Server Key Exchange, Server Hello Done;;;17,999105;17,999286;0,002067;;0,001748;0,000319;-0,001429
414;17,999286;192,168,1,6;104,244,38,20;TCP;54;58008  >  443 [ACK] Seq=518 Ack=5965 Win=132096 Len=0;;;17,999286;18,001353;0,000319;;-0,07974;0,080059;0,159799
415;18,001353;192,168,1,6;104,244,38,20;TLSv1,2;147;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;18,001353;18,001672;0,080059;;0,079662;0,000397;-0,079265
416;18,001672;192,168,1,6;104,244,38,20;TLSv1,2;1015;Application Data;;;18,001672;18,081731;0,000397;;-0,000319;0,000716;0,001035
417;18,081731;13,35,99,88;192,168,1,6;TCP;56;443  >  58003 [ACK] Seq=5911 Ack=582 Win=30464 Len=0;;;18,081731;18,082128;0,000716;;0,000582;0,000134;-0,000448
418;18,082128;13,35,99,88;192,168,1,6;TLSv1,3;116;Application Data;;;18,082128;18,082844;0,000134;;-0,000459;0,000593;0,001052
419;18,082844;13,35,99,88;192,168,1,6;TLSv1,3;85;Application Data;;;18,082844;18,082978;0,000593;;-0,003539;0,004132;0,007671
420;18,082978;192,168,1,6;13,35,99,88;TCP;54;58003  >  443 [ACK] Seq=952 Ack=6004 Win=131840 Len=0;;;18,082978;18,083571;0,004132;;0,004132;0;-0,004132
421;18,083571;192,168,1,6;13,35,99,88;TLSv1,3;85;Application Data;;;18,083571;18,087703;0;;0;0;0
422;18,087703;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=6004 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,087703;18,087703;0;;0;0;0
423;18,087703;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=7456 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,087703;18,087703;0;;0;0;0
424;18,087703;13,35,99,88;192,168,1,6;TCP;1506;443  >  58003 [ACK] Seq=8908 Ack=952 Win=31488 Len=1452 [TCP segment of a reassembled PDU];;;18,087703;18,087703;0;;0;0;0
